,price_per_square,squares,max_floor,latitude,longitude,Nevskii prospekt,parkings_1km,rent_per_m,population
708,53379.0,74.0,1.0,30.307675,59.922088,2.28,57.0,175962.0,200654
712,75574.0,74.1,1.0,30.244308,60.072444,11.27,21.0,97541.0,200654
716,265000.0,74.7,12.0,30.204962,60.033908,14.3,19.0,165040.0,200654
726,292316.0,75.09,9.0,30.288622,59.903823,4.58,42.0,202480.0,200654
729,450000.0,75.4,11.0,30.338083,59.880582,3.1,19.0,157040.0,413983
730,324000.0,75.7,25.0,30.220988,59.861973,12.29,35.0,108760.0,200654
731,190000.0,75.8,12.0,30.479038,60.008378,17.4,32.0,139040.0,200654
732,250330.0,75.9,2.0,30.364781,60.052272,7.5,41.0,96442.0,200654
735,246053.0,76.0,2.0,30.363075,60.052483,7.4,42.0,96442.0,413983
736,388158.0,76.0,4.0,30.294955,59.922787,3.65,60.0,127000.0,200654
739,220869.0,76.0,24.0,30.511773,59.866274,20.93,17.0,99010.0,200654
743,249541.0,76.1,4.0,30.321698,59.929096,0.7,24.0,127000.0,200654
745,317585.0,76.13,1.0,30.35128,59.967502,3.16,57.0,135186.0,200654
746,319000.0,76.2,25.0,30.220961,59.862483,12.29,34.0,126010.0,200654
750,350000.0,76.4,6.0,30.305546,59.907532,2.8,59.0,141240.0,200654
751,194772.0,76.5,16.0,30.51878,59.831282,22.19,18.0,142500.0,200654
753,332895.0,76.7,1.0,30.245728,59.962048,9.16,41.0,168656.0,200654
754,319615.0,76.78,20.0,30.434311,59.931134,11.9,39.0,129440.0,200654
755,384115.0,76.8,4.0,30.306912,59.924555,2.33,45.0,126338.0,200654
756,384115.0,76.8,5.0,30.306912,59.924555,2.33,45.0,116358.0,413983
759,310000.0,77.0,25.0,30.220979,59.863007,12.28,34.0,142990.0,200654
760,194806.0,77.0,25.0,30.312392,60.06927,7.0,58.0,142990.0,200654
762,200000.0,77.0,25.0,30.474367,60.018102,17.05,18.0,142990.0,200654
764,181559.0,77.0,26.0,30.371653,59.812193,8.25,33.0,152050.0,200654
765,340000.0,77.3,13.0,30.378714,60.018349,7.26,41.0,141688.8,200654
766,337000.0,77.3,25.0,30.220988,59.861973,12.29,35.0,142990.0,200654
767,332000.0,77.4,25.0,30.220961,59.862483,12.29,34.0,142990.0,200654
769,340000.0,77.92,11.0,30.378714,60.018349,7.26,41.0,186184.4,200654
772,250000.0,78.0,13.0,30.327043,59.991804,2.91,84.0,141688.8,200654
775,364357.0,78.22,9.0,30.404316,59.938175,8.57,17.0,201302.0,200654
776,209000.0,78.3,4.0,30.107827,59.834189,24.72,32.0,155883.0,200654
778,175000.0,78.3,14.0,30.359041,59.808794,7.59,19.0,153164.4,200654
783,316392.0,78.7,24.0,30.344614,59.85332,4.71,35.0,131050.0,200654
786,378482.0,79.0,4.0,30.287562,59.985512,5.07,40.0,155883.0,200654
789,209054.0,79.0,24.0,30.511773,59.866274,20.93,17.0,131050.0,200654
791,161917.0,79.3,1.0,30.275992,59.94431,5.72,50.0,169000.0,200654
793,175000.0,79.6,14.0,30.362015,59.807106,7.84,23.0,172108.8,200654
794,232121.0,79.7,1.0,30.377268,59.933068,5.56,55.0,169000.0,200654
795,325000.0,79.75,10.0,30.341533,59.966953,2.29,56.0,175006.4,200654
796,187500.0,80.0,1.0,30.290868,59.940005,4.06,76.0,169000.0,200654
797,131250.0,80.0,1.0,30.307065,59.919725,2.38,66.0,169000.0,200654
798,125000.0,80.0,1.0,30.307065,59.919725,2.38,66.0,169000.0,200654
804,143625.0,80.0,4.0,30.298665,59.923581,3.24,54.0,210525.0,200654
805,143625.0,80.0,6.0,30.298665,59.923581,3.24,54.0,197489.4,200654
