,price_per_square,full_price,rent_per_month,squares,max_floor,latitude,longitude,metro_250m,metro_500m,metro_1km,parkings_1km,rent_per_square_m,distance_to_center,Pushkinsky,Kolpinsky,Primorsky,Tsentralny,Kalininsky,Krasnogvardeysky,Admiralteysky,Vyborgsky,Frunzensky,Nevsky,Petrogradsky,Vasileostrovsky,Krasnoselsky,Kirovsky,Moskovsky,Kronshtadtsky,Kurortny,Petrodvortsovy,population,mean_distr_pps
97,363381.0,12900000.0,99528.0,35.5,6.0,30.37566,59.925453,0.0,0.0,1.0,0.0,2803.605633802817,7.06,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200654,254919.1581632653
98,243932.6,8775051.6,80000.0,36.0,1.0,30.332999,60.075344,0.0,1.0,1.0,36.0,2222.222222222222,7.45,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,541590,225573.17423312887
99,277500.0,9990000.0,113260.0,36.0,2.0,30.276163,59.939027,0.0,1.0,1.0,0.0,3146.1111111111118,4.03,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,206680,261970.0192
100,283334.0,10200000.0,113260.0,36.0,2.0,30.276163,59.939027,0.0,1.0,1.0,0.0,3146.1111111111118,4.03,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,206680,261970.0192
101,357861.4,11619800.0,37980.0,36.0,4.0,30.276639,59.903241,1.0,1.0,1.0,39.0,1055.0,4.29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,155981,277500.88611111115
102,201070.6,7110000.0,85000.0,36.0,10.0,30.358107,59.806174,0.0,0.0,0.0,15.0,2361.1111111111118,8.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263732,189180.75698924728
103,123967.0,4500000.0,109316.0,36.3,19.0,30.213846,59.95229,0.0,0.0,1.0,0.0,3011.460055096419,10.98,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,206680,261970.0192
104,398681.0,14500000.0,115568.0,36.37,12.0,30.338083,59.880582,0.0,0.0,0.0,0.0,3177.5639263128955,4.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,335221,284126.8703125
105,77028.0,2850000.0,99528.0,37.0,1.0,30.375516,59.936282,0.0,0.0,0.0,0.0,2689.945945945946,7.02,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200654,254919.1581632653
106,208878.0,8190000.0,48100.0,37.0,7.0,30.375507,59.802929,0.0,0.0,0.0,26.0,1300.0,9.98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263732,189180.75698924728
107,205406.0,7600000.0,89221.8,37.0,10.0,30.372291,59.831173,0.0,1.0,1.0,0.0,2411.4,8.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,335221,284126.8703125
108,386962.4,14619800.0,79000.0,37.0,14.0,30.299321,60.001671,0.0,1.0,2.0,74.0,2135.135135135135,3.53,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699243,279766.9102439024
109,380583.6,16123800.0,65000.0,37.0,17.0,30.321536,59.985831,0.0,0.0,0.0,99.0,1756.7567567567569,2.69,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699243,279766.9102439024
110,185984.0,6900000.0,91861.8,37.1,5.0,30.375651,59.860486,0.0,0.0,1.0,0.0,2476.0592991913745,8.11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,413983,245996.38888888888
111,307251.0,11399000.0,94568.0,37.1,14.0,30.316183,59.857003,0.0,0.0,2.0,0.0,2549.0026954177897,4.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,335221,284126.8703125
112,318286.6,12690000.0,81840.0,37.2,5.0,30.322561,59.937486,0.0,0.0,5.0,17.0,2200.0,1.13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200654,254919.1581632653
